IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
45.221.115.152,4,4,0.00,65.25,39.12,92.74,HKG,728.50
91.110.174.222,4,4,0.00,62.13,42.57,50.55,HKG,691.78
91.110.174.201,4,4,0.00,62.25,47.05,49.06,HKG,698.00
91.110.174.210,4,4,0.00,64.43,45.51,46.85,HKG,708.50
91.110.174.204,4,4,0.00,64.87,39.51,46.52,HKG,700.50
82.22.26.202,4,4,0.00,73.46,39.02,39.77,NRT,732.00
154.21.203.206,4,4,0.00,68.82,9.10,26.44,HKG,714.00
203.69.11.79,4,4,0.00,91.32,21.67,21.85,KHH,809.64
203.69.11.80,4,4,0.00,91.62,20.10,20.24,KHH,797.12
211.49.57.134,4,4,0.00,105.94,27.29,30.37,ICN,807.14
211.72.147.91,4,4,0.00,92.73,14.35,15.49,KHH,794.53
38.207.174.111,4,4,0.00,115.01,12.78,13.93,HKG,743.50
108.165.177.16,4,4,0.00,105.87,4.55,5.19,SIN,826.82
