IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
104.17.142.212,4,4,0.00,204.00,12.49,17.69,SJC,421.11
104.19.154.200,4,4,0.00,217.32,12.83,18.07,LAX,481.76
104.19.220.22,4,4,0.00,210.90,11.78,17.38,LAX,465.00
104.18.34.151,4,4,0.00,213.59,13.07,17.39,LAX,437.35
172.64.146.245,4,4,0.00,223.93,12.72,17.41,LAX,487.11
188.164.248.248,4,4,0.00,225.90,12.59,17.22,LAX,471.32
104.18.151.172,4,4,0.00,205.33,11.34,16.50,LAX,483.22
104.18.204.19,4,4,0.00,215.29,11.32,16.67,LAX,476.12
104.17.121.89,4,4,0.00,224.39,11.41,16.41,LAX,476.97
173.245.49.194,4,4,0.00,220.26,11.29,15.67,LAX,467.22
104.17.212.57,4,4,0.00,226.30,10.99,15.60,LAX,459.63
104.17.162.3,4,4,0.00,224.35,11.10,15.54,LAX,491.15
104.16.95.170,4,4,0.00,214.79,9.23,14.39,LAX,470.72
149.118.55.215,4,4,0.00,229.55,14.56,14.56,SIN,743.45
123.111.169.70,4,4,0.00,71.83,5.78,8.12,ICN,225.34
85.155.176.11,4,4,0.00,226.87,7.40,7.40,SIN,986.69
163.61.74.121,4,4,0.00,254.06,5.60,5.60,HKG,1439.26
