IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
104.21.51.9,4,4,0.00,294.81,18.24,22.18,LAX,461.74
172.67.216.95,4,4,0.00,297.40,14.33,19.95,SJC,469.51
