IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
2.27.109.236,4,4,0.00,66.40,33.30,91.12,HKG,701.72
23.133.52.10,4,4,0.00,119.18,35.58,78.34,HKG,194.39
91.110.209.123,4,4,0.00,66.28,40.00,45.14,HKG,695.11
209.33.166.199,4,4,0.00,67.37,41.70,44.25,HKG,701.76
91.110.209.120,4,4,0.00,63.65,30.23,34.62,HKG,710.47
91.110.209.115,4,4,0.00,62.11,22.22,27.78,HKG,713.46
4.240.110.47,4,4,0.00,168.48,18.01,19.68,BOM,1300.02
8.219.195.31,4,4,0.00,101.66,4.76,5.79,NRT,1044.24
162.159.128.253,4,4,0.00,245.82,11.05,17.51,LHR,477.12
