IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
2.27.109.236,4,4,0.00,62.82,26.42,106.62,HKG,700.92
2.27.109.35,4,4,0.00,65.53,41.09,45.80,HKG,808.72
91.110.209.120,4,4,0.00,61.54,31.17,42.00,HKG,715.34
172.104.120.92,4,4,0.00,69.07,38.81,42.05,NRT,718.49
91.110.209.115,4,4,0.00,61.03,24.52,36.26,HKG,731.20
45.89.232.242,4,4,0.00,99.86,39.54,40.32,NRT,414.31
45.150.128.159,4,4,0.00,121.27,28.26,31.50,BKK,903.43
143.14.11.61,4,4,0.00,120.24,11.65,21.37,BKK,937.86
43.155.221.27,4,4,0.00,61.32,3.59,5.56,ICN,906.10
8.219.155.125,4,4,0.00,98.84,6.29,6.78,NRT,1060.45
104.18.16.49,4,4,0.00,238.85,10.82,17.92,LHR,692.42
104.18.81.19,4,4,0.00,240.41,10.87,16.51,LHR,703.01
157.230.254.79,4,4,0.00,237.75,13.68,14.59,SIN,1003.93
