IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
2.27.109.62,4,4,0.00,60.46,50.75,67.07,HKG,695.93
54.248.55.203,4,4,0.00,82.51,36.53,37.68,NRT,769.89
91.110.209.123,4,4,0.00,64.29,25.76,34.29,HKG,691.84
91.110.209.115,4,4,0.00,64.26,22.36,29.18,HKG,702.61
43.254.164.160,4,4,0.00,64.45,16.75,28.47,HKG,231.14
45.89.232.242,4,4,0.00,93.20,26.60,29.50,NRT,383.92
45.150.128.159,4,4,0.00,120.12,29.89,32.20,BKK,410.15
118.156.166.251,4,4,0.00,126.78,27.68,29.95,NRT,401.41
8.219.155.125,4,4,0.00,99.96,22.54,25.88,NRT,1013.03
8.219.195.31,4,4,0.00,102.14,20.92,22.43,NRT,1069.28
157.85.105.126,4,4,0.00,125.57,21.35,22.09,BKK,406.07
143.14.11.61,4,4,0.00,120.91,14.74,19.62,BKK,399.82
104.17.167.134,4,4,0.00,67.34,3.90,9.15,HKG,153.70
178.128.19.168,4,4,0.00,236.99,13.31,33.93,SIN,708.06
111.97.164.62,4,4,0.00,130.08,12.38,15.19,NRT,407.36
151.241.5.88,4,4,0.00,71.11,5.67,5.68,NRT,719.42
4.240.110.47,4,4,0.00,170.22,18.26,18.26,BOM,790.78
150.230.212.247,4,4,0.00,121.93,6.11,9.60,NRT,278.55
43.133.110.81,4,4,0.00,118.05,4.39,5.40,BKK,624.20
104.16.105.166,4,4,0.00,206.42,8.23,18.33,LAX,633.89
