IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
45.221.115.92,4,4,0.00,79.03,40.73,50.69,HKG,245.71
209.33.166.199,4,4,0.00,68.37,30.33,35.17,HKG,723.40
91.110.209.85,4,4,0.00,66.75,19.43,31.97,HKG,737.61
43.160.246.223,4,4,0.00,96.55,21.78,29.10,SIN,533.66
91.110.209.120,4,4,0.00,62.49,23.42,25.16,HKG,720.46
149.118.131.245,4,4,0.00,104.47,24.71,25.72,KUL,850.98
157.85.105.126,4,4,0.00,127.19,22.23,22.79,BKK,925.43
117.18.127.43,4,4,0.00,121.43,18.02,20.05,BKK,914.13
143.14.11.61,4,4,0.00,123.78,14.61,19.88,BKK,920.19
165.101.65.72,4,4,0.00,119.69,15.57,19.18,BKK,923.66
143.198.209.123,4,4,0.00,245.57,11.27,24.47,SIN,737.42
123.111.169.70,4,4,0.00,109.54,6.52,8.08,ICN,321.20
85.155.176.13,4,4,0.00,234.77,11.26,11.95,SIN,938.74
140.245.54.99,4,4,0.00,246.82,10.17,13.03,SIN,1236.37
139.59.224.185,4,4,0.00,237.26,10.39,12.06,SIN,779.26
149.118.55.215,4,4,0.00,247.45,11.68,12.65,SIN,736.13
134.185.88.235,4,4,0.00,248.76,9.78,11.60,SIN,1021.40
143.198.213.40,4,4,0.00,236.81,8.23,8.48,SIN,780.03
