IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
52.199.101.150,4,4,0.00,74.86,40.88,49.92,NRT,747.95
35.76.240.208,4,4,0.00,68.89,30.42,44.79,NRT,726.92
18.182.54.28,4,4,0.00,71.50,35.77,44.18,NRT,731.98
18.178.41.33,4,4,0.00,68.91,32.58,41.63,NRT,749.10
185.194.54.137,4,4,0.00,97.63,31.66,35.28,SIN,814.11
54.180.151.15,4,4,0.00,104.38,20.72,25.24,ICN,827.15
103.201.130.51,4,4,0.00,118.49,21.68,25.97,NRT,892.43
103.201.131.83,4,4,0.00,118.45,17.57,18.67,NRT,893.72
52.194.99.211,4,4,0.00,71.76,8.55,13.97,NRT,740.01
43.168.16.112,4,4,0.00,64.64,10.43,11.70,HKG,727.33
47.239.4.246,4,4,0.00,62.86,6.31,9.95,HKG,727.32
163.61.74.121,4,4,0.00,107.07,11.51,12.92,HKG,885.68
161.248.31.35,4,4,0.00,102.68,11.08,12.07,HKG,927.39
35.201.155.121,4,4,0.00,122.46,10.15,13.52,TPE,752.06
18.176.37.44,4,4,0.00,69.87,4.10,6.80,NRT,733.06
108.162.198.8,4,4,0.00,205.20,8.02,13.85,SJC,780.52
172.64.52.177,4,4,0.00,249.73,5.46,12.12,LAX,1164.09
162.159.36.177,4,4,0.00,244.77,4.17,9.20,LAX,609.94
162.159.44.103,4,4,0.00,259.63,3.69,7.86,LAX,770.37
162.159.45.160,4,4,0.00,246.73,3.21,6.41,LAX,542.49
