IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.204,4,4,0.00,61.50,46.29,90.37,HKG,232.08
91.110.174.210,4,4,0.00,63.99,10.93,59.13,HKG,221.89
43.165.170.139,4,4,0.00,69.25,20.68,56.36,NRT,350.72
91.110.174.190,4,4,0.00,61.56,45.43,49.03,HKG,184.04
91.110.174.222,4,4,0.00,65.40,29.16,30.64,HKG,191.09
23.133.52.10,4,4,0.00,64.39,27.27,29.36,HKG,688.11
211.49.57.134,4,4,0.00,107.54,19.96,30.24,ICN,837.91
152.69.229.110,4,4,0.00,107.15,27.43,30.09,ICN,844.76
211.72.147.91,4,4,0.00,91.16,17.50,19.77,KHH,807.89
43.167.224.16,4,4,0.00,77.84,3.38,13.57,NRT,339.00
207.57.134.29,4,4,0.00,65.41,9.34,10.61,HKG,702.99
104.17.164.125,4,4,0.00,67.48,6.88,9.99,HKG,161.61
43.167.11.157,4,4,0.00,80.77,3.23,12.65,NRT,1227.35
154.21.203.206,4,4,0.00,66.69,5.88,8.12,HKG,709.34
104.19.148.121,4,4,0.00,64.06,3.68,5.51,HKG,172.80
13.251.43.214,4,4,0.00,118.09,5.47,6.07,SIN,867.32
13.250.18.50,4,4,0.00,118.85,5.61,5.73,SIN,878.83
13.250.19.142,4,4,0.00,119.57,5.47,5.74,SIN,908.34
13.212.193.229,4,4,0.00,120.70,2.81,5.75,SIN,884.37
104.18.151.172,4,4,0.00,204.92,11.71,20.13,SJC,1025.03
