IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
163.5.58.140,4,4,0.00,65.63,33.95,57.68,HKG,728.46
203.69.11.79,4,4,0.00,89.24,20.82,22.86,KHH,797.52
203.69.11.80,4,4,0.00,89.15,19.92,20.87,KHH,810.51
38.207.175.151,4,4,0.00,64.09,8.19,10.55,HKG,724.81
211.72.147.91,4,4,0.00,91.71,15.99,17.30,KHH,802.59
211.49.57.134,4,4,0.00,107.20,20.02,21.19,ICN,889.87
114.32.9.249,4,4,0.00,115.29,3.90,5.08,TPE,846.40
13.251.156.14,4,4,0.00,119.62,5.43,6.29,SIN,1278.40
13.250.19.142,4,4,0.00,119.93,5.54,5.74,SIN,876.31
13.214.166.221,4,4,0.00,121.64,5.21,5.26,SIN,870.10
