IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.201,4,4,0.00,65.67,45.46,48.43,HKG,197.01
23.133.52.10,4,4,0.00,64.20,33.55,45.47,HKG,198.21
45.89.235.39,4,4,0.00,65.79,24.18,40.13,NRT,728.38
8.216.49.20,4,4,0.00,76.76,10.57,40.30,NRT,332.36
91.110.209.72,4,4,0.00,65.55,31.88,38.19,HKG,704.55
91.110.209.66,4,4,0.00,65.46,34.32,38.12,HKG,720.86
91.110.209.71,4,4,0.00,60.63,27.25,36.61,HKG,704.55
91.110.209.50,4,4,0.00,69.01,32.45,36.86,HKG,730.88
185.37.255.190,4,4,0.00,99.46,37.99,38.75,SIN,817.12
198.20.153.247,4,4,0.00,107.91,26.90,36.10,KUL,827.47
91.110.209.54,4,4,0.00,61.48,26.41,29.91,HKG,710.83
43.160.254.163,4,4,0.00,98.95,25.65,31.60,SIN,812.59
43.160.241.223,4,4,0.00,102.36,25.59,29.59,SIN,829.14
91.110.209.62,4,4,0.00,65.94,24.42,25.15,HKG,720.86
45.192.203.120,4,4,0.00,87.41,25.74,27.17,HKG,453.17
203.69.11.80,4,4,0.00,89.98,23.07,24.86,KHH,808.58
203.69.11.79,4,4,0.00,90.15,23.18,24.58,KHH,803.57
203.69.11.81,4,4,0.00,89.37,22.51,23.46,KHH,790.17
211.72.147.91,4,4,0.00,87.06,19.72,22.46,KHH,785.02
172.197.160.176,4,4,0.00,120.18,20.35,22.83,KUL,887.31
