IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.204,4,4,0.00,73.11,49.84,121.31,HKG,192.73
23.133.52.10,4,4,0.00,64.76,42.49,49.98,HKG,686.43
42.193.173.86,4,4,0.00,61.02,23.27,47.05,HKG,707.12
91.110.174.202,4,4,0.00,59.18,43.76,44.23,HKG,198.94
69.8.128.99,4,4,0.00,76.28,38.22,44.34,NRT,789.38
91.110.174.190,4,4,0.00,74.86,41.42,42.52,HKG,192.73
91.110.209.59,4,4,0.00,62.61,14.71,32.23,HKG,854.91
91.110.174.201,4,4,0.00,60.51,18.68,31.07,HKG,211.29
91.110.209.77,4,4,0.00,63.23,20.13,28.76,HKG,758.13
220.132.74.165,4,4,0.00,90.53,21.36,33.43,TPE,870.59
45.192.203.120,4,4,0.00,89.43,25.51,26.43,HKG,590.84
203.69.11.79,4,4,0.00,87.18,21.88,25.21,KHH,845.99
91.110.209.72,4,4,0.00,60.67,15.47,16.40,HKG,781.76
149.118.156.142,4,4,0.00,115.53,23.97,27.85,KUL,892.29
211.72.147.91,4,4,0.00,86.89,8.33,16.52,KHH,843.00
172.197.160.176,4,4,0.00,120.18,21.38,25.79,KUL,923.52
168.110.112.196,4,4,0.00,116.92,21.42,23.92,ICN,341.09
198.20.153.247,4,4,0.00,97.96,11.39,15.09,KUL,853.34
27.102.134.233,4,4,0.00,100.98,13.81,15.47,ICN,907.16
43.155.221.27,4,4,0.00,73.86,3.78,7.71,ICN,204.87
