IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
168.110.110.132,4,4,0.00,104.33,33.39,35.32,ICN,342.32
43.160.241.174,4,4,0.00,99.16,28.73,31.03,SIN,800.81
149.118.156.142,4,4,0.00,127.08,29.34,31.50,KUL,1003.58
23.27.240.217,4,4,0.00,103.49,28.66,29.76,KUL,828.63
43.160.203.174,4,4,0.00,99.80,25.87,27.28,SIN,1844.25
203.69.11.80,4,4,0.00,102.66,15.84,23.12,KHH,806.58
172.197.160.176,4,4,0.00,120.57,20.95,23.99,KUL,877.76
202.61.87.116,4,4,0.00,66.26,4.44,13.97,HKG,731.96
27.102.134.233,4,4,0.00,103.27,11.68,15.98,ICN,880.28
211.49.57.134,4,4,0.00,99.98,10.33,11.30,ICN,821.11
206.237.12.135,4,4,0.00,64.26,5.42,6.56,HKG,1024.49
220.132.74.165,4,4,0.00,107.84,6.08,9.09,TPE,983.65
104.18.89.52,4,4,0.00,231.15,11.05,17.40,LHR,696.13
152.175.5.161,4,4,0.00,92.11,5.44,6.80,HKG,1018.93
142.249.60.51,4,4,0.00,243.38,15.31,16.44,TPE,521.10
168.110.107.218,4,4,0.00,106.23,5.11,6.77,ICN,847.18
54.255.206.251,4,4,0.00,138.23,5.51,5.91,SIN,362.44
