IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.204,4,4,0.00,63.58,48.07,124.99,HKG,787.77
23.133.52.10,4,4,0.00,64.91,39.17,68.15,HKG,188.60
45.89.235.39,4,4,0.00,66.89,29.43,58.51,NRT,722.46
91.110.174.210,4,4,0.00,63.91,40.74,42.73,HKG,227.17
45.192.204.3,4,4,0.00,65.21,38.01,42.26,HKG,155.93
91.110.209.77,4,4,0.00,64.58,28.43,38.15,HKG,712.46
91.110.209.47,4,4,0.00,65.21,21.97,36.26,HKG,725.56
91.110.209.78,4,4,0.00,62.91,22.84,31.59,HKG,702.21
91.110.174.222,4,4,0.00,61.71,25.73,26.63,HKG,209.25
91.110.209.62,4,4,0.00,67.64,18.14,30.62,HKG,718.62
91.110.209.64,4,4,0.00,63.66,17.84,24.91,HKG,702.72
91.110.209.100,4,4,0.00,68.86,24.80,25.94,HKG,709.40
69.8.128.99,4,4,0.00,78.56,32.65,33.97,NRT,752.71
91.110.209.55,4,4,0.00,65.21,17.23,17.80,HKG,698.60
45.192.203.120,4,4,0.00,89.21,26.94,28.27,HKG,458.49
220.132.74.165,4,4,0.00,89.52,22.57,26.40,TPE,792.79
203.69.11.80,4,4,0.00,91.08,23.34,25.10,KHH,787.77
211.49.57.134,4,4,0.00,99.29,19.28,30.53,ICN,819.74
149.118.156.142,4,4,0.00,100.34,28.96,31.14,KUL,850.22
168.110.112.196,4,4,0.00,104.83,26.90,31.59,ICN,340.17
