IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.169,4,4,0.00,65.79,38.34,74.99,HKG,198.51
91.110.174.173,4,4,0.00,60.87,37.88,42.90,HKG,230.59
69.8.128.99,4,4,0.00,75.70,24.71,38.47,NRT,733.89
206.237.12.135,4,4,0.00,71.11,11.37,32.06,HKG,818.56
8.216.49.20,4,4,0.00,78.80,14.86,33.17,NRT,300.47
211.72.147.91,4,4,0.00,87.87,18.81,26.63,KHH,828.92
168.107.17.234,4,4,0.00,105.09,30.54,33.75,ICN,341.88
203.69.11.79,4,4,0.00,91.85,20.79,22.58,KHH,798.95
43.134.197.220,4,4,0.00,67.53,2.40,9.84,HKG,224.58
202.61.75.68,4,4,0.00,101.12,16.94,25.84,KUL,840.17
211.49.57.134,4,4,0.00,100.89,18.34,24.02,ICN,813.56
202.61.87.116,4,4,0.00,66.50,4.74,6.10,HKG,727.74
168.110.110.132,4,4,0.00,109.61,24.51,27.42,ICN,837.22
45.192.203.120,4,4,0.00,100.21,21.52,22.58,HKG,461.79
47.80.57.116,4,4,0.00,103.32,22.15,23.68,ICN,905.83
45.154.14.208,4,4,0.00,84.22,11.80,13.72,ICN,780.50
168.93.198.146,4,4,0.00,100.24,10.33,18.62,KUL,329.91
13.212.232.162,4,4,0.00,119.33,5.47,5.74,SIN,881.77
