IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
43.134.197.220,4,4,0.00,66.95,3.20,57.21,HKG,224.08
91.110.174.173,4,4,0.00,62.53,49.14,52.31,HKG,193.13
91.110.209.111,4,4,0.00,66.17,31.05,44.33,HKG,707.32
91.110.174.205,4,4,0.00,69.64,42.34,44.22,HKG,199.01
38.207.174.111,4,4,0.00,68.05,31.16,42.61,HKG,720.36
82.108.155.248,4,4,0.00,98.84,43.37,46.41,NRT,779.09
91.110.209.93,4,4,0.00,65.04,30.32,39.80,HKG,725.11
69.8.128.249,4,4,0.00,74.20,22.73,38.94,NRT,221.07
91.110.209.100,4,4,0.00,64.78,29.41,37.07,HKG,704.82
91.110.209.102,4,4,0.00,61.62,29.42,36.46,HKG,733.39
45.192.205.162,4,4,0.00,70.43,35.26,37.46,HKG,720.86
64.204.49.136,4,4,0.00,82.71,28.49,38.86,NRT,739.41
82.108.155.108,4,4,0.00,91.67,34.36,35.20,NRT,784.66
103.85.27.58,4,4,0.00,93.93,34.44,35.21,NRT,797.05
91.110.209.62,4,4,0.00,63.79,21.85,29.13,HKG,727.37
38.207.175.151,4,4,0.00,69.89,20.69,29.57,HKG,727.37
47.80.57.116,4,4,0.00,104.14,28.80,33.36,ICN,836.72
211.72.147.91,4,4,0.00,87.85,29.92,30.24,KHH,794.55
203.69.11.80,4,4,0.00,91.93,24.02,30.46,KHH,809.09
202.61.75.68,4,4,0.00,102.09,29.39,30.72,KUL,310.80
