IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.173,4,4,0.00,66.69,46.11,60.10,HKG,206.59
91.110.174.190,4,4,0.00,70.07,46.82,49.00,HKG,197.74
45.192.205.162,4,4,0.00,65.40,36.77,39.21,HKG,704.67
69.8.128.201,4,4,0.00,91.86,38.97,40.80,NRT,737.35
146.56.119.205,4,4,0.00,104.66,31.45,37.01,ICN,844.18
91.110.209.62,4,4,0.00,63.61,8.20,21.98,HKG,710.36
91.110.209.66,4,4,0.00,69.42,6.72,23.72,HKG,710.36
91.110.209.100,4,4,0.00,71.86,1.65,24.31,HKG,709.83
129.154.50.72,4,4,0.00,106.02,33.73,36.07,ICN,340.30
45.192.203.120,4,4,0.00,86.20,26.24,28.23,HKG,447.33
69.8.128.99,4,4,0.00,83.82,21.47,27.22,NRT,755.40
202.61.75.68,4,4,0.00,100.49,22.79,31.14,KUL,345.92
205.186.64.216,4,4,0.00,101.58,27.01,30.50,KUL,828.65
23.27.28.65,4,4,0.00,103.68,29.88,31.23,KUL,305.08
91.110.209.93,4,4,0.00,76.94,5.91,21.73,HKG,722.57
203.69.11.80,4,4,0.00,91.07,20.04,24.58,KHH,785.30
220.132.74.165,4,4,0.00,91.07,19.87,23.68,TPE,787.86
203.69.11.79,4,4,0.00,89.12,15.66,22.48,KHH,799.38
91.110.209.64,4,4,0.00,66.57,9.66,12.03,HKG,710.36
47.80.57.116,4,4,0.00,102.62,19.22,22.78,ICN,819.21
